rank,feature,mean_abs_shap,mean_shap,positive_impact_share,negative_impact_share
1,follicle_no_right,0.160464837313003,-0.035827583002157375,0.3669724770642202,0.6330275229357798
2,follicle_no_left,0.12414080124958869,-0.03289472235576964,0.3211009174311927,0.6788990825688074
3,amh_ng_ml,0.05533561692653082,-0.011602488201386924,0.3211009174311927,0.6788990825688074
4,lh_miu_ml,0.017461059821073335,-0.0014969384995327532,0.21100917431192662,0.7889908256880734
5,beta_hcg_i_miu_ml,0.015738531621913597,-4.075640650132156e-05,0.5229357798165137,0.47706422018348627
6,beta_hcg_ii_miu_ml,0.015364632143481459,-0.0005258186657625604,0.46788990825688076,0.5321100917431193
7,fsh_lh_ratio,0.014213291598079382,-0.004234883486449305,0.24770642201834864,0.7522935779816514
8,avg_follicle_size_left_mm,0.013075392584918638,-0.0031026053297187445,0.5412844036697247,0.45871559633027525
9,endometrium_mm,0.012803247711391947,-0.003445621548623838,0.6330275229357798,0.3669724770642202
10,prg_ng_ml,0.01272428181281187,-0.00242458481645852,0.45871559633027525,0.5412844036697247
11,avg_follicle_size_right_mm,0.01204706869022864,-0.0022181639890477126,0.5688073394495413,0.43119266055045874
12,fsh_miu_ml,0.011010016681254144,-0.0010705994186743558,0.5779816513761468,0.42201834862385323
13,vit_d3_ng_ml,0.009831849018927016,-0.0013431375568186583,0.47706422018348627,0.5229357798165137
14,prl_ng_ml,0.00845948257644376,-0.0030386482323323753,0.30275229357798167,0.6972477064220184
15,tsh_miu_l,0.007817687001222066,-0.003597330407773995,0.42201834862385323,0.5779816513761468
